name,score1,score2,moves1,moves2,time1,time2
Max - Gain | HORIZONTAL - VERTICAL,1022,1015,200,199,2,3
Max - Gain | VERTICAL - HORIZONTAL,1031,1006,200,199,0,3
Gain - Max | HORIZONTAL - VERTICAL,859,855,148,147,0,0
Gain - Max | VERTICAL - HORIZONTAL,503,498,76,75,0,0
Avg - Gain | HORIZONTAL - VERTICAL,1010,975,192,191,3,2
Avg - Gain | VERTICAL - HORIZONTAL,1009,979,192,191,6,1
Gain - Avg | HORIZONTAL - VERTICAL,914,948,173,172,2,1
Gain - Avg | VERTICAL - HORIZONTAL,900,921,170,169,1,2
Avg - Max | HORIZONTAL - VERTICAL,1021,1003,197,196,0,2
Avg - Max | VERTICAL - HORIZONTAL,1006,997,190,189,0,1
Max - Avg | HORIZONTAL - VERTICAL,1020,1017,200,199,2,0
Max - Avg | VERTICAL - HORIZONTAL,1017,1020,200,199,1,0
Max - Gain | HORIZONTAL - VERTICAL,1043,1007,197,196,0,1
Max - Gain | VERTICAL - HORIZONTAL,1027,1011,194,193,0,3
Gain - Max | HORIZONTAL - VERTICAL,985,991,184,183,3,0
Gain - Max | VERTICAL - HORIZONTAL,737,711,121,120,0,1
Avg - Gain | HORIZONTAL - VERTICAL,1058,1005,200,199,0,0
Avg - Gain | VERTICAL - HORIZONTAL,1037,998,193,192,0,1
Gain - Avg | HORIZONTAL - VERTICAL,692,698,118,117,1,0
Gain - Avg | VERTICAL - HORIZONTAL,772,774,131,130,2,0
Avg - Max | HORIZONTAL - VERTICAL,1034,1029,200,199,0,0
Avg - Max | VERTICAL - HORIZONTAL,1036,1027,200,199,0,0
Max - Avg | HORIZONTAL - VERTICAL,1032,1031,200,199,0,0
Max - Avg | VERTICAL - HORIZONTAL,1020,1024,195,194,0,1
Max - Gain | HORIZONTAL - VERTICAL,1044,1045,197,196,0,0
Max - Gain | VERTICAL - HORIZONTAL,1059,1038,200,199,0,0
Gain - Max | HORIZONTAL - VERTICAL,1034,1053,198,197,1,0
Gain - Max | VERTICAL - HORIZONTAL,603,599,88,87,0,0
Avg - Gain | HORIZONTAL - VERTICAL,970,948,175,174,0,2
Avg - Gain | VERTICAL - HORIZONTAL,1056,1029,198,197,2,0
Gain - Avg | HORIZONTAL - VERTICAL,927,945,169,168,2,0
Gain - Avg | VERTICAL - HORIZONTAL,771,777,130,129,1,0
Avg - Max | HORIZONTAL - VERTICAL,1029,1018,187,186,0,0
Avg - Max | VERTICAL - HORIZONTAL,1032,1027,190,189,0,0
